Context,Community,Implemented,Example,N_Example,total,Prop_Example,id
CC,N,N,Research,2,6,0.3333333333333333,1
CC,N,N,Investment in new gear or innovations,1,6,0.16666666666666666,2
CC,N,N,MPAs,1,6,0.16666666666666666,3
CC,N,N,Reductions in other stressors,1,6,0.16666666666666666,4
CC,N,N,Review programs / regulations,1,6,0.16666666666666666,5
CC,N,Y,Investment in new gear or innovations,2,7,0.2857142857142857,1
CC,N,Y,Research,2,7,0.2857142857142857,2
CC,N,Y,Restoration,2,7,0.2857142857142857,3
CC,N,Y,International agreements,1,7,0.14285714285714285,4
CC,Y,N,Coordination and organization,1,9,0.1111111111111111,1
CC,Y,N,Diversify livelihoods,1,9,0.1111111111111111,2
CC,Y,N,Education,1,9,0.1111111111111111,3
CC,Y,N,Financial assistance to help survive bad fishing years,1,9,0.1111111111111111,4
CC,Y,N,Financial assistance to help transition out of fishery,1,9,0.1111111111111111,5
CC,Y,N,Investments to improve value chain,1,9,0.1111111111111111,6
CC,Y,N,Market diversification,1,9,0.1111111111111111,7
CC,Y,N,Research,1,9,0.1111111111111111,8
CC,Y,N,Transition out of fisheries,1,9,0.1111111111111111,9
CC,Y,Y,Adaptation programs,1,2,0.5,1
CC,Y,Y,Restoration,1,2,0.5,2
N,N,N,MPAs,2,5,0.4,1
N,N,N,Coordination and organization,1,5,0.2,2
N,N,N,Restoration,1,5,0.2,3
N,N,N,Review programs / regulations,1,5,0.2,4
N,N,Y,Financial assistance to help survive bad fishing years,2,5,0.4,1
N,N,Y,Disaster funds,1,5,0.2,2
N,N,Y,Individual property rights,1,5,0.2,3
N,N,Y,Transition out of fisheries,1,5,0.2,4
N,Y,N,Coordination and organization,1,6,0.16666666666666666,1
N,Y,N,Diversify livelihoods,1,6,0.16666666666666666,2
N,Y,N,Economic/community development,1,6,0.16666666666666666,3
N,Y,N,Education,1,6,0.16666666666666666,4
N,Y,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",1,6,0.16666666666666666,5
N,Y,N,Research,1,6,0.16666666666666666,6
N,Y,Y,Cooperatives,3,22,0.13636363636363635,1
N,Y,Y,Dynamic ocean management,2,22,0.09090909090909091,2
N,Y,Y,Economic/community development,2,22,0.09090909090909091,3
N,Y,Y,Education,2,22,0.09090909090909091,4
N,Y,Y,Financial assistance to help survive bad fishing years,2,22,0.09090909090909091,5
N,Y,Y,Financial assistance to help transition out of fishery,2,22,0.09090909090909091,6
N,Y,Y,Market diversification,2,22,0.09090909090909091,7
N,Y,Y,Research,2,22,0.09090909090909091,8
N,Y,Y,Diversify livelihoods,1,22,0.045454545454545456,9
N,Y,Y,Investments to improve value chain,1,22,0.045454545454545456,10
